Case NumberClient FeedbackResolution CommentsAnalysis CommentsCATEGORIES_8_57
03/28/2017-3400241Other || client stated that prime rewards card was opened without her consent.Provided Status and/or Next Steps || Apologized to client.  Client wants to know if credit card can be closed out without impacted.  I explained to the client that I would do some research and get back to her  *****************************************************************************  no folder in r drive04/17/2016 reopened for follow up. cda    4/25 - duplicate case 3397460 - status summary prefilled8
03/29/2017-3404864SunTrust Bank     Loan# 0280358136    As you know I have this loan since 2009.    Last Year in July I place the house for sale, in less than 24 hours I had a contract in the house.  The closing was set to be done on Sept. 9th. A few days before the closing the buyer's attorney let me know we had a problem with the documents from the house and they were canceling the deal.   At that time I had resigned to a twenty four year job and I had sold or gave away almost all I had in the house.  Attached you will find the full story.    This is a huge problem for me because I can't sell the house and at the time I moved to Florida.  I don't see how this problem can be solved.  I need your advice and help with this issue.  You can contact me at 954 661-1748  Email address: gaviota48@outlook.com or mercedesf@gmail.com    Mercedes Francia  >> Mercedes Francias purchased 1580 Turner Branch Rd., Goodview, VA May, 2009. At the time of purchase (please refer to attached supporting documents), owners and lenders title insurance were purchased by Ms. Francias issued by Stewart Title.    Bobby Heffinger, the next door neighbor, has at one time owned the land Ms. Francias home is currently on and he cut of a portion of it and gave it to his daughter who sold the property and home to Ms. Francias. In order for Mr. Heffinger's daughter to sell the property that the home was on, she had to have a new septic and new well drilled to go with the home before she sold it, which she did.  Mr. Heffinger at that time had a survey redrawn in 2008 showing the new well and septic on his daughter's property so she could sell it. Apparently the well needed to be deeded to his daughter by a "deed of conveyance" and it was not done this way, was passed by an easement.  In 2011 Mr. Heffinger financed his property in a reverse mortgage when his wife died and when his !reverse mortgage ender recorded the deed the legal plat agreement on record was the survey from 1998 showing the original property lines (the portion of the property that has Ms. Francia's storage  building and well on).  All of this was discovered when Ms. Francias had sold the property in 2016 and the new buyer's attorney said this was never recorded properly by deed of conveyance and the only proper plat on record is the original plan from 1998 showing Mr. Heffinger as the owner of the property where Mr. Francias' well it, not the one where the lines were redrawn in 2008. Mr. Heffinger's lender of his reverse mortgage included the original property in his new mortgage and now  Ms. Francias' does not have a well on her property and the property is 1/2 the size of what she originally purchased.  A 3rd party company hired by Mr. Heffinger's mortgage company to resolve title issues has been trying to resolve the issue but the easy resolution seems to be a well easement but Mr. Heffinger is not willing to sign the well easement which states the well is on his property and he is responsible for the maintenance an upkeep of the well shared with Ms. Francias. Mr. Heffinger says this is not a resolution and the well is on Ms. Francias' property she purchased but according to the title work and plat on record it is not.  I have attached the latest survey that was done in 2008 showing an exchange of parcels and a previous survey that was done in 1998 on our subject property.  The exchange shows that the Heffingers (neighbors) conveyed parcel 1 and 2 to the Huffs (subject property) and the Huffs conveyed parcel 3 to the Heffingers. However, no deed of exchange was recorded to convey title. (see title work from when the Francia's home was sold in Sept. 2016 but  never was consumated due to this property dispute).\N4/7/17,uvme5,,email sent to legal-Miki & Ed for assistance  4/12/17,uvme5,sent follow up email...for status,..email response from Micki - she's having someone look at this ,client may need to hire an attorney..Micki hopes to have more info as soon as possible....added e/m to r-drive  4/17/17,uvme5 email response from Dawn Tuppounce ,advising info has been forwarded to Stacey Robinson to review as well...  4/20/17,uvme5,called Ms.Francia  @954-661-1748 advised of docs needed..copy of title work & survey & any correspondence she received from the buyers attorney,,ms to try to fx docs by Friday-4/21/17.  4/21/17,uvme5,21 page fax received forwarded to Dawn Tupponce,copied Ed,Eric,Renee Brooks,Stacy l. Robinson..added r-drive  4/24/17,uvme5,email response from Dawn Tupponce advising a title claim was file with stewart title.added email with attachments to (r-drive)  4/26/17,uvme5,CALLED TO BORR TO ADVISE OF STATUS & TO OBTAIN     CLIENT INTENT IN REFERENCE TO MAR & APRIL-2017     PMTS..CLIENT STATED UNTIL ISSUE CORRECTED SHE HAS  DECIDED NOT TO MAKE PMTS..ADVISED MS I WOULD CALL  HER BACK AFTER RELAYING THAT INFORMATION TO MANAGER57
04/03/2017-3412896Cl wanted to file a complaint because she applied for a secure credit card at the branch but  instead a cash rewards card application was submitted. Cl also wants someone that will be able to help her by phone instead of visiting the branch again.CFSR VALIDATION RESULTS = UNABLE TO VALIDATE - BRANCH TM  4/3/2017 UTMB123    Reassured cl I will submit her complaint. I warm transferred cl to a teammate in consumer sales dept to process a secure cr card application. I advised cl I will also f/u with her in 2-3 wks to see if everything was processed correctly for her. Ph# (954) 549-5571  ***Prior comments from originating case***:  **********************************************************4/13 - no ack required-resolved at poc  LY - emailed CFS for resolution8
04/03/2017-3413948Lack of Follow Up or Status Updates || CLIENTS REQUESTED A DISPUTE WITH THE CREDIT BUREAU TO HAVE CREDIT CARD REPORTED AS ACTIVE. NO ONE FOLLOWED UP WITH CLIENT TO ADVICE THAT THE CASE WAS DENIEDUnresolved - Complaint Escalation Needed || CLIENT IS NOT HAPPY WITH THE OUT COME OF DECISION ON CREDIT CARD NOT BEING REPORTED TO CREDIT BUREAU. CLIENT CREDIT CARD WAS CLOSED IN ERROR THEN REOPENED. CLIENT IS STATING THATSHE GETS A CREDIT REPORT EVRY 30 DAYS AND HER CRDIT CARD IS NOT BEING REPORTED HAS AN ACTIVE ACCOUNT AND WOULD LIKE TO GET CREDIT FOR USING THE CARD.  ****************    -Case owner spoke with client and stated a code was placed on the card so that it will report as an "active" card with the credit bureaus to which we report. The client was advised it can take up to 30 days for the bureaus/agencies to update their records, but she confirmed with the case owner that Experian has already made the update now.4/5/2017 3:20 PM 417-872-6612 Acknowledgement call - I left a voice mail. # HMD    4.13.17-determined per the research above that the client should have received a response from Experian regarding the denial for her credit dispute; however, since the client indicated someone at ST was supposed to inform her of the outcome, we will need to speak with the client to determine if any teammate error was involved.  -Reviewed card 1514:  it shows it was opened 8-23-15; it was closed 7-5-16 and then reopened in July 2016, with a charge on 7-25-17; &, the card is still open.  -Reviewed credit card system for card 1514:  it shows the card on the cbr credit reporting screen as being reported as paid & closed 7-5-16.  -Reviewed prior sf cases/credit disputes submitted: case 3076920 was denied in oct 2016 by r seward; credit dispute 3274407 for Equifax was denied; credit disputes 3258956 and 3258957 for Transunion (completed by j reed), and credit dispute 3287118 for Experian on 2-7-17 (completed by j reed) was denied.  -Determined that, based on the above research, there could be an issue with the card being open and the credit reporting screen (cbr in the credit card system) showing the card as paid and closed 7-5-16.  -Submitted research request 7194164:   this was done to see if we need to revisit the denied credit disputes and/or to see if there is some code credit card can place on the card to show the card as active/so it will report as such to the bureaus.    4-14-17-Left voicemail for client at 4178726612; she called back and verified her highschool/herself.   -per client: She did not state who promised a call back to her about the decision of the credit dispute but said this has been ongoing for months. She mentioned the issue with the credit limits of 1500 on the new card 1445, and the 4000 credit limit on the original card 1514 that was closed in july 2016 before she found out the new card would not have the 4000 limit on it. ..however, the issue for this case is the card not reporting and this not being updated by an unknown teammate/no follow up as promised..I told the client I will call her back with the outcome.  -Reviewed card 1445; it was opened on 7-5-16 and is also still an active/open card but has the credit limit of 1500.  -Reviewed research request 7194164 to credit card dept., and it was re-directed and now has 1 business day for the response to be provided.    4-17-17-Reviewed research request placed to credit card, and it still says 1 day to respond...waiting on a reply.  -sent task to gp, mgr, to review to determine if case should be closed as is, or we wait for credit card to respond to see if they need to get involved with credit disputes to revisit the denial decision made (in case she does not see an issue with the reporting).  -emails with gp manager: gp responded confirmed via email that we should wait to hear back from credit card before going to credit disputes. (case owner responded via email as well).    4-18-17-Reviewed research request system: it now shows that request 7194164, redirected to request 7198236, & redirected to request 7201398 on 4-17 is being completed-they are updating a code on the card so the acct will report as "active" with the bureaus.  -Determined bank error with reporting of card to bureaus in July:  (per research request response) there was an issue with the code not being updated properly back in July when the card was reopened, causing the card not to be reported correctly.  -Determined credit disputes should have contacted the LOB or reviewed the credit reporting issues previously (in prior credit disputes filed) to resolve the client's issue sooner.  -Determined no issue with a teammate  for this case-no teammate name provided/no notes.  -Emails with gp, manager.    4-19-17-emailed credit card mgmt.  4-24-17-spoke with client/emailed credit card/sent jb task for ce override.  4-25-17-confirmed w credit card via email the correct code was placed & emailed gp.57
04/03/2017-3414438Other || MARLO FRANCE STATED THERE ARE SUNTRUST MORTGAGE INQUIRIES ON HER CREDIT REPORT AND SHE STATED SHE HAS NEVER APPLIED FOR A MORTGAGE NOR HAS SHE EVER HAD A MORTGAGE WITH SUNTRUST BEFORE. CLIENT PROVIDED INQUIRY DATES: 05/31/2015 ACCORDING TO EQUIFAX. CLIENT RECEIVED LETTER AND IT DOES NOT REFERENCE A MORTGAGE LOAN NUMBER, SO NO NUMBER WAS PROVIDED FOR DISPUTING PURPOSES. PLEASE ADVISE.\Nuvrc21 4.7.17 unable to locate a loan nubmer    uvrc21 4.11.18 revd the faxed docs and an email was sent to credit dept. I was advised on 4.14.17 that the matter needs to be researched by Carolyn Risco. AN email was sent to Carolyn for assistant, regarding an extension.    UVRC21- 4.14.17- manually sent CK 765 letter    uvcr5 - client faxed in a portion of credit report, not enough information to investigate. it says SunTrust Bank Atlanta from 4/23/15, but hard to read.  we need more info to investigate further. the whole credit report would help.8
04/04/2017-3415626Teammate Interaction Challenges || Client received a letter informing him that he was declined for a credit card application.  He says he did not apply and now that has affected his credit score.Other || Client received a letter informing him that he was declined for a credit card application.  He says he did not apply and now that has affected his credit score.  **********************************************************************************  Sent Credit Bureau dispute to have inquiry removed.  Made call back attempt but client's number is not valid.  Sent call back letter request on 4/20/17.4/19 - no ack required-resolved at poc  LY - emailed manager for feedback  4/20 - received email 4/19 from branch teammate.  PDF document so comments could not be copied into case.  Document is attached to case.  Completed CBD inquiry removal request including ACAPS number 20170840947390 and application date 3/25/17.  Credit Bureau dispute number 4/20/2017-3453063.  Attempted to call client and advise.  Invalid phone number on file.    response from credit inquiry removal - Approved     Approval/Denial Detail  SUBMITTED REMOVAL REQUEST FOR 3/25/17       to advise client if he calls back:  a. Credit card inquiry removed.  b. Credit report will be updated in 30-45 days.  c. Forwarded information to the correct lines of business to review and  address appropriately  d. Ask the client the security question of what high school they attended and notate analysis comments with the client#s answer.8
04/04/2017-3416641What happened  Product:  Mortgage: Home equity loan or line of credit  Issue:  Loan servicing, payments, escrow account  Describe what happened:  Last July 2016, after 2 years of trying, I filed a consumer complaint to have the primary name changed on my equity line. With your help that was finally accomplished. This January 2017, I refinanced my primary mortgage and paid down the equity line by $180,000, leaving a balance of approximately $33K. when I received my first bill for the new payment in March 2017, the primary name was reverted back to my ex-husband and the loan payment did not have the interest only option, which was always an option for my account and which I verified with the bank during my refinancing. I had even received my new monthly payment for the interest only which was part of the qualification process. the primary name needs to be changed and the interest only option made available. Now I am receiving notices that I am past due in my payment and wondering if it has been reported against my credit score. Please help.  Concerned about foreclosure?  No  Contacted CC issuer:  1  Attachment  File Attachment  [PDF document]201708228.ack.04032017.pdf <https://secure.consumerfinance.gov/cc/fattach/get/2467174/1491245403/filename/201708228.ack.04032017.pdf> (14.33 KB)  [PDF document]201708228.initial.03272017.pdf <https://secure.consumerfinance.gov/cc/fattach/get/2467175/1491245403/filename/201708228.initial.03272017.pdf> (14.94 KB)    Desired resolution  Desired resolution:  Please help.      Consumer Information  First name:  Joan  Last name:  Bagwell  Email Address:  bagwell.joan@gmail.com  Phone:  8048733550  Street:  3909 Longview Landing Ct  City:  Richmond  State:  VA  ZIP Code:  23233  Country:  United States    On behalf of myself:  Yes  On behalf of someone else:  No          Product information  Name on account:  Joan Bagwell  Company name:  SunTrust Bank  Street:  3909 Longview Landing Ct  City:  Richmond  State:  VA  ZIP code:  23233  Street:  Pump Road and Broad Street  City:  Richmond  State:  VA  ZIP code:  23233      Case Details  Case number:  170403-001468  Company status:  Sent to company  Sent to company:  04/04/2017 09:01  Respond by:  04/19/2017      Eboni Chambers, Officer, Client Advocacy Management Office  SunTrust Bank | Take a step toward financial confidence. Join the movement at onUp.com.  Office: 804.270.8410 | Fax: 877.789.6844 | Mail Code CS-RIC-4101 | 7818 Parham Rd, Richmond, VA  23294    LEGAL DISCLAIMER  The information transmitted is intended solely for the individual or entity to which it is addressed and may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. If you have received this email in error please contact the sender and delete the material from any computer.  By replying to this e-mail, you consent to SunTrust's monitoring activities of all communication that occurs on SunTrust's systems.  SunTrust is a federally registered service mark of SunTrust Banks, Inc.  [ST:XCL]We have received and reviewed your correspondence forwarded to us from the CFPB regarding the name of the borrower and the terms of the above referenced account. I appreciate the opportunity to respond.    In reference to the name of the primary borrower on the account, it was changed from Lawrence Bagwell to your name in November 2016. However, in December 2016, it reverted back to Mr. Bagwell#s name. We have updated our records to reflect that you are the primary borrower. I sincerely apologize for any inconvenience this matter may have caused you.    Regarding the payments terms for your account, our records show that, on   January 20, 2017, we received a payment of $180,120.45. Because there were no instructions as to how the payment was to be applied, it was processed as a regular payment. This means that it was applied to principal and interest.     As of February 14, 2017, the Draw Period ended and the account entered its Repayment Period (See Term on page 1 of the enclosed Access 3 Equity Line Account Agreement And Disclosure Statement). As a result, the balance of $32,271.48 was moved to a fixed rate for 10 years.  The payment that was credited to the account on March 13, 2017, did not satisfy the March payment; therefore, a late fee was assessed. However, on March 28, 2017, as a courtesy, the late fee was waived. Copy of statement enclosed.    We have also reviewed your concerns about the negative reporting of this account. While we understand your concerns, we are required to report credit information accurately to the credit reporting bureaus. For this reason, the late reporting will remain.         SunTrust strives to provide exceptional service with each and every client interaction, and we recognize that we did not meet these expectations in this situation. Your comments are very important and were shared with the appropriate management team.    Ms. Bagwell, I understand this is not the resolution you are seeking from SunTrust. Should you have any other questions, please contact us via your Online Banking Profile or call us at 800.SUNTRUST. A representative will be glad to help you.4/5- 1.56pm- left ackn vml @ 8048733550 - jgm  4/18/2017 -email from 3/29/2017-name has been corrected on account-regarding payment client sent in payment did not indicate how it was to be applied, processed as a regular payment, P1001 (principal) and INT02 (interest).  Went into repayment bal moved to fixed rate/fixed term on 2/14 for 10 ues. She no longer has interest only option is in repayment is forced to begin paying the principal bal. Large pament in Jan satisfied Feb payment did not pay enought in Mar to satisfy Mar payment therefore late fee assessed; not bank error.  4/18/2017- left vm that she will receive a written response within the next 5-7 business days.  4/27/2017- refinanced on 4/26/2017- payment of $31,732.28 credited on 4/26/2017, account balance is now at zero.8
04/05/2017-3418456Cl wants to know why she is not able to open a account with SunTrust.Adv cl that ST has made the determination not to have her as a cl so she will not be able to open any account with st.  Adv based on Rules and Regs  ***Prior comments from originating case***:  **********************************************************  no folder in r drive4/26 - no ack required-resolved at poc  LY57
04/05/2017-3419049Default / Negative Impacts || Wanted to be added to business account but due to his personal profile and fraud dept they would not allow him to be on any account or open any future accounts.Other || Claimed he is going to call a lawyer because he hasn't been told why.  ******************************  No folder in R Drive04/18/17 - No ack needed-Resolved @ POC  jr      07/26/11 clp notes under personal profile- "CRR reivew - ***opting in # jr57
04/05/2017-3419293Branch/Department Interaction Challenges || client said she only requested to have a MMK savings. she didn't requested to have an essential checking.Performed Other Servicing / Maintenance;Communicated Decisions / Option(s) || closed account and advised only active account is her MMK savings****************4/12- CE only, no ack or follow up required, resolved at POC.-HL    - sent email to BM/AM for feedback regarding why acct was opened.    4/14- no response, sent another email to AM/BM.    4/18- Branch responded on 4/14, see attached, and claims the client was aware of acct opening.    - opted in for compliance review.8
